"","method","20","55","0"
"1","microscope","A.glacialis, A.ostenfeldii, Actinocyclus, Alexandrium, C.affinis, C.cf_compressus, C.closterium, C.contortus, C.curvistus, C.debilis, C.decipiens, C.diadema, C.didymus, C.pelagica, C.protuberans, C.radicans, C.simplex, C.socialis, C.wailesii, Chaetoceros, Corethron, Coscinodiscus, D.brightwellii, D.fragilissimus, D.lenticula, D.norvegica, D.pumila, Detonula, Dinophysis, E.zondicus, Flagellate, G.polyedra, G.spirale, G.undulans, Guinardia, Gymnodinium, Heterocapsa, L.danicus, L.minimus, L.undulatum, Leptocylindrus, N.scintillans, Odontella, P.denticulatum, P.divergens, P.horologium, P.nitzschia, P.ovatum, P.pallidum, P.reticulatum, Pennate, Pleurosigma, Prorocentrum, Protoperidinium, Pyrophacus, Rhizosolenia, Scrippsiella, Silicoflagellate, Skeletonema, T.anguste-lineata, T.constricta, T.frauenfeldii, T.furca, T.lineatum, T.rotula, Thalassionema, Thalassiosira, Tripos","Asterionellopsis, C.cf_compressus, C.closterium, C.curvistus, C.danicus, C.debilis, C.decipiens, C.densus, C.diadema, C.didymus, C.lauderi, C.pelagica, C.peruvianus, C.radicans, C.simplex, Chaetoceros, Coscinodiscus, D.brightwellii, D.fragilissimus, D.lenticula, D.norvegica, D.pumila, Detonula, E.turris, E.zondicus, Eucampia, Flagellate, G.spirale, Guinardia, L.danicus, L.minimus, L.undulatum, Leptocylindrus, N.scintillans, Odontella, P.claudicans, P.conicum, P.depressum, P.divergens, P.nitzschia, P.ovatum, P.pallidum, Pennate, Prorocentrum, Protoperidinium, Pyrophacus, Rhizosolenia, Scrippsiella, Silicoflagellate, Skeletonema, Stephanopyxis, T.anguste-lineata, T.constricta, T.frauenfeldii, T.furca, T.lineatum, T.macroceros, T.rotula, T.tripos, Thalassionema, Thalassiosira, Tripos","Asterionellopsis, Asteroplanus, Bacteriastrum, C.cf_compressus, C.closterium, C.curvistus, C.danicus, C.debilis, C.decipiens, C.densus, C.diadema, C.didymus, C.lauderi, C.radicans, C.simplex, C.socialis, Chaetoceros, Corethron, Coscinodiscus, Cryptophaceae, Detonula, Dinoflagellate, Ditylum, Eucampia, Flagellate, G.polyedra, Gonyaulax, Guinardia, Hemiaulus, Heterocapsa, Katodinium, L.minimus, Leptocylindrus, Lithodesmium, N.scintillans, Odontella, P.bipes, P.conicum, P.denticulatum, P.nitzschia, P.pallidum, P.pyriforme, Pennate, Porosira, Prorocentrum, Protoperidinium, Rhizosolenia, Scrippsiella, Silicoflagellate, Skeletonema, T.anguste-lineata, T.furca, T.lineatum, T.rotula, Thalassionema, Thalassiosira, Tripos"
"2","flowcam","Chaetoceros, Coscinodiscus, Detonula, Dinoflagellate, Dinophysis, Ditylum, Eucampia, Flagellate, Guinardia, Leptocylindrus, Lithodesmium, N.scintillans, Odontella, P.nitzschia, Pennate, Prorocentrum, Protoperidinium, Rhizosolenia, Scrippsiella, Silicoflagellate, Skeletonema, Stephanopyxis, Thalassionema, Thalassiosira, Tripos","Asterionellopsis, Chaetoceros, Coscinodiscus, Detonula, Dinoflagellate, Dinophysis, Ditylum, Eucampia, Flagellate, Guinardia, Leptocylindrus, Lithodesmium, N.scintillans, Odontella, P.nitzschia, Pennate, Prorocentrum, Protoperidinium, Rhizosolenia, Scrippsiella, Silicoflagellate, Skeletonema, Stephanopyxis, Thalassionema, Thalassiosira, Tripos","Asterionellopsis, Chaetoceros, Coscinodiscus, Detonula, Dinoflagellate, Dinophysis, Ditylum, Eucampia, Flagellate, Guinardia, Helicotheca, Leptocylindrus, Lithodesmium, N.scintillans, Odontella, P.nitzschia, Pennate, Prorocentrum, Protoperidinium, Rhizosolenia, Scrippsiella, Silicoflagellate, Skeletonema, Stephanopyxis, Thalassionema, Thalassiosira, Tripos"
